Connector 1 (White)
-------------------
Brown    | Heating Capsule +
Brown-W  | Heating Capsule -
Blue     | Stepper Motor Coil 1 +
Blue-W   | Stepper Motor Coil 1 -
Green    | Cooling Fan Extruder Heatsink +
Green-W  | Cooling Fan Extruder Heatsink -
Yellow   | Thermocouple +
Yellow-W | Thermocouple -
Shield   | GND

Connector 2 (Red)
-----------------
Brown    | Heating Capsule +
Brown-W  | Heating Capsule -
Blue     | Stepper Motor Coil 2 +
Blue-W   | Stepper Motor Coil 2 -
Green    | Cooling Fan Air Channel +
Green-W  | Cooling Fan Air Channel -
Yellow   | (Unused)
Yellow-W | (Unused)
Shield   | GND
